episode,timestep,reward
4,500,-217.6922
9,1000,-191.6369
14,1500,-181.3422
19,2000,-158.2762
24,2500,-146.9786
29,3000,-139.9408
34,3500,-125.8795
39,4000,-115.5547
44,4500,-111.6829
49,5000,-102.0596
54,5500,-96.7204
59,6000,-77.6788
64,6500,-73.4848
69,7000,-58.4748
74,7500,-45.8751
79,8000,-43.268
84,8500,-34.2187
89,9000,-25.8726
94,9500,-26.7612
99,10000,-17.1026
104,10500,-15.4584
109,11000,-19.9416
114,11500,-16.6175
119,12000,-22.5649
124,12500,-19.49
129,13000,-15.1337
134,13500,-18.2043
139,14000,-16.7911
144,14500,-16.9001
149,15000,-19.6173
154,15500,-16.6724
159,16000,-18.2923
164,16500,-19.0699
169,17000,-15.2908
174,17500,-15.7826
179,18000,-17.7458
184,18500,-11.5855
189,19000,-13.4182
194,19500,-14.7567
199,20000,-17.0189
204,20500,-14.171
209,21000,-14.4485
214,21500,-15.9798
219,22000,-16.3017
224,22500,-11.2997
229,23000,-12.6983
234,23500,-14.7033
239,24000,-17.115
244,24500,-16.3442
249,25000,-17.1802
254,25500,-20.3875
259,26000,-14.7876
264,26500,-16.2919
269,27000,-17.0601
274,27500,-14.0594
279,28000,-15.0358
284,28500,-15.704
289,29000,-15.8223
294,29500,-15.7245
299,30000,-15.637
304,30500,-15.5003
309,31000,-13.5308
314,31500,-15.4079
319,32000,-14.5123
324,32500,-15.9348
329,33000,-19.3815
334,33500,-12.1606
339,34000,-18.0613
344,34500,-11.9897
349,35000,-14.475
354,35500,-16.5202
359,36000,-15.6918
364,36500,-20.1904
369,37000,-17.6886
374,37500,-14.2725
379,38000,-12.8204
384,38500,-15.7241
389,39000,-14.4464
394,39500,-17.0688
399,40000,-21.7262
404,40500,-14.3907
409,41000,-17.6639
414,41500,-13.1437
419,42000,-10.128
424,42500,-17.0933
429,43000,-16.9987
434,43500,-15.3973
439,44000,-18.7923
444,44500,-12.0524
449,45000,-14.6284
454,45500,-14.562
459,46000,-23.5983
464,46500,-17.8396
469,47000,-16.8374
474,47500,-18.7493
479,48000,-15.3995
484,48500,-19.0773
489,49000,-17.6327
494,49500,-15.1269
499,50000,-16.7261
504,50500,-20.1467
509,51000,-19.1392
514,51500,-18.7094
519,52000,-17.2956
524,52500,-12.4122
529,53000,-12.7136
534,53500,-16.2623
539,54000,-13.8569
544,54500,-15.3334
549,55000,-18.3354
554,55500,-15.2457
559,56000,-16.211
564,56500,-20.8048
569,57000,-13.6303
574,57500,-10.7344
579,58000,-14.2066
584,58500,-18.2163
589,59000,-14.0213
594,59500,-16.0824
599,60000,-12.6605
604,60500,-14.7744
609,61000,-14.6454
614,61500,-13.1032
619,62000,-15.3948
624,62500,-12.923
629,63000,-12.225
634,63500,-18.1539
639,64000,-17.0741
644,64500,-18.3973
649,65000,-18.7444
654,65500,-18.2339
659,66000,-15.7042
664,66500,-15.8536
669,67000,-15.1946
674,67500,-12.4526
679,68000,-14.2803
684,68500,-18.698
689,69000,-15.3359
694,69500,-15.4753
699,70000,-12.0115
704,70500,-16.9653
709,71000,-21.0308
714,71500,-13.232
719,72000,-14.8545
724,72500,-15.4121
729,73000,-17.36
734,73500,-13.7703
739,74000,-16.7095
744,74500,-15.5728
749,75000,-18.0524
754,75500,-15.6653
759,76000,-15.5723
764,76500,-14.7022
769,77000,-13.3509
774,77500,-13.6941
779,78000,-15.0751
784,78500,-12.275
789,79000,-11.9135
794,79500,-12.9497
799,80000,-13.9591
804,80500,-12.7475
809,81000,-16.0899
814,81500,-16.462
819,82000,-12.1275
824,82500,-13.2908
829,83000,-15.3871
834,83500,-12.3523
839,84000,-13.9094
844,84500,-11.954
849,85000,-14.3734
854,85500,-13.6832
859,86000,-15.0894
864,86500,-14.855
869,87000,-16.0796
874,87500,-16.6411
879,88000,-13.513
884,88500,-15.6494
889,89000,-12.4157
894,89500,-12.6853
899,90000,-13.9332
904,90500,-17.4896
909,91000,-24.1842
914,91500,-14.661
919,92000,-16.193
924,92500,-12.3924
929,93000,-15.1238
934,93500,-10.8319
939,94000,-13.9042
944,94500,-9.5451
949,95000,-18.3009
954,95500,-13.6322
959,96000,-16.8329
964,96500,-12.1511
969,97000,-15.7955
974,97500,-12.7064
979,98000,-14.0034
984,98500,-15.5517
989,99000,-14.3637
994,99500,-14.6267
999,100000,-15.3515
1004,100500,-13.4808
1009,101000,-14.1848
1014,101500,-13.9163
1019,102000,-14.7725
1024,102500,-12.3437
1029,103000,-12.5677
1034,103500,-11.5335
1039,104000,-12.7384
1044,104500,-14.149
1049,105000,-12.6606
1054,105500,-14.2349
1059,106000,-17.1022
1064,106500,-12.0756
1069,107000,-15.104
1074,107500,-14.2898
1079,108000,-14.4681
1084,108500,-14.3238
1089,109000,-12.1925
1094,109500,-13.8256
1099,110000,-14.3479
1104,110500,-12.8624
1109,111000,-14.0944
1114,111500,-15.9157
1119,112000,-16.6457
1124,112500,-10.9993
1129,113000,-11.1992
1134,113500,-10.0295
